relative_time_s,lord_dynamic_mag_norm,prototype_dynamic_mag_norm,lord_dynamic_envelope_norm,prototype_dynamic_envelope_norm,sample_ts_utc,sample_ts_et
0.000,-1.21421284,-1.29303522,-1.55320761,-1.60344120,2026-05-03T23:57:11.577Z,2026-05-03 19:57:11.577
0.040,-1.21710362,-1.30835811,-1.55031211,-1.59920281,2026-05-03T23:57:11.617Z,2026-05-03 19:57:11.617
0.080,-1.21682162,-1.30471220,-1.54746546,-1.59669619,2026-05-03T23:57:11.657Z,2026-05-03 19:57:11.657
0.120,-1.21595510,-1.33265575,-1.54437235,-1.59128932,2026-05-03T23:57:11.697Z,2026-05-03 19:57:11.697
0.160,-1.21781428,-1.32603400,-1.54189838,-1.58941290,2026-05-03T23:57:11.737Z,2026-05-03 19:57:11.737
0.200,-1.21745449,-1.31845485,-1.53955537,-1.58681742,2026-05-03T23:57:11.777Z,2026-05-03 19:57:11.777
0.240,-1.21846315,-1.31485018,-1.53732586,-1.58135721,2026-05-03T23:57:11.817Z,2026-05-03 19:57:11.817
0.280,-1.21728327,-1.32902561,-1.53510718,-1.58372832,2026-05-03T23:57:11.857Z,2026-05-03 19:57:11.857
0.320,-1.21367794,-1.30141634,-1.53510383,-1.58607264,2026-05-03T23:57:11.897Z,2026-05-03 19:57:11.897
0.360,-1.21765409,-1.33348526,-1.53584350,-1.58886510,2026-05-03T23:57:11.937Z,2026-05-03 19:57:11.937
0.400,-1.21780641,-1.32390555,-1.53618357,-1.58855049,2026-05-03T23:57:11.977Z,2026-05-03 19:57:11.977
0.440,-1.21795170,-1.29508805,-1.53612538,-1.58775101,2026-05-03T23:57:12.017Z,2026-05-03 19:57:12.017
0.480,-1.19568232,-1.31457867,-1.53569366,-1.58899690,2026-05-03T23:57:12.057Z,2026-05-03 19:57:12.057
0.520,-1.21706771,-1.33507920,-1.53551014,-1.58971186,2026-05-03T23:57:12.097Z,2026-05-03 19:57:12.097
0.560,-1.22545364,-1.33439480,-1.53540910,-1.58764521,2026-05-03T23:57:12.137Z,2026-05-03 19:57:12.137
0.600,-1.21959940,-1.32866650,-1.53536698,-1.59185047,2026-05-03T23:57:12.177Z,2026-05-03 19:57:12.177
0.640,-1.21719594,-1.31732260,-1.53592411,-1.59015206,2026-05-03T23:57:12.217Z,2026-05-03 19:57:12.217
0.680,-1.21305987,-1.33294379,-1.53428347,-1.58584468,2026-05-03T23:57:12.257Z,2026-05-03 19:57:12.257
0.720,-1.21649484,-1.32212904,-1.53190530,-1.58601235,2026-05-03T23:57:12.297Z,2026-05-03 19:57:12.297
0.760,-1.21621375,-1.30780777,-1.53300925,-1.58333080,2026-05-03T23:57:12.337Z,2026-05-03 19:57:12.337
0.800,-1.21326057,-1.34894906,-1.52916080,-1.58086562,2026-05-03T23:57:12.377Z,2026-05-03 19:57:12.377
0.840,-1.22409670,-1.31494388,-1.52903144,-1.58003372,2026-05-03T23:57:12.417Z,2026-05-03 19:57:12.417
0.880,-1.20248024,-1.28680486,-1.52893166,-1.57734925,2026-05-03T23:57:12.457Z,2026-05-03 19:57:12.457
0.920,-1.19619859,-1.29640957,-1.52763291,-1.57774844,2026-05-03T23:57:12.497Z,2026-05-03 19:57:12.497
0.960,-1.20479151,-1.29116401,-1.52649010,-1.57699968,2026-05-03T23:57:12.537Z,2026-05-03 19:57:12.537
1.000,-1.18434354,-1.30639203,-1.52633516,-1.57839393,2026-05-03T23:57:12.577Z,2026-05-03 19:57:12.577
1.040,-1.22362926,-1.32304474,-1.52686287,-1.57979676,2026-05-03T23:57:12.617Z,2026-05-03 19:57:12.617
1.080,-1.21836433,-1.29927090,-1.52760465,-1.57052846,2026-05-03T23:57:12.657Z,2026-05-03 19:57:12.657
1.120,-1.20355843,-1.32216229,-1.52642433,-1.52511300,2026-05-03T23:57:12.697Z,2026-05-03 19:57:12.697
1.160,-1.20150053,-1.32252273,-1.49768945,-1.42661826,2026-05-03T23:57:12.737Z,2026-05-03 19:57:12.737
1.200,-1.21464040,-1.34340969,-1.43288553,-1.30045991,2026-05-03T23:57:12.777Z,2026-05-03 19:57:12.777
1.240,-1.22309421,-1.32347408,-1.32230079,-1.21211060,2026-05-03T23:57:12.817Z,2026-05-03 19:57:12.817
1.280,-1.22246584,-1.25741795,-1.22153438,-1.16055076,2026-05-03T23:57:12.857Z,2026-05-03 19:57:12.857
1.320,-1.20970174,-1.06817989,-1.16473778,-1.11666514,2026-05-03T23:57:12.897Z,2026-05-03 19:57:12.897
1.360,-1.05359274,-0.79516098,-1.13352476,-1.11124831,2026-05-03T23:57:12.937Z,2026-05-03 19:57:12.937
1.400,-0.87796123,-0.54566255,-1.11216633,-1.10060417,2026-05-03T23:57:12.977Z,2026-05-03 19:57:12.977
1.440,-0.61594913,-0.56442873,-1.10645139,-1.08969807,2026-05-03T23:57:13.017Z,2026-05-03 19:57:13.017
1.480,-0.50734083,-0.70550382,-1.08780844,-1.07893570,2026-05-03T23:57:13.057Z,2026-05-03 19:57:13.057
1.520,-0.63213324,-0.72864523,-1.07734266,-1.05224825,2026-05-03T23:57:13.097Z,2026-05-03 19:57:13.097
1.560,-0.76931393,-1.13408330,-1.05873476,-1.03388532,2026-05-03T23:57:13.137Z,2026-05-03 19:57:13.137
1.600,-0.84027964,-1.04650843,-1.02926013,-1.03725660,2026-05-03T23:57:13.177Z,2026-05-03 19:57:13.177
1.640,-1.03520964,-1.03940392,-1.02540013,-1.06254935,2026-05-03T23:57:13.217Z,2026-05-03 19:57:13.217
1.680,-0.85856756,-1.04147565,-1.03726413,-1.11783949,2026-05-03T23:57:13.257Z,2026-05-03 19:57:13.257
1.720,-0.95533686,-0.83713814,-1.07231518,-1.16587797,2026-05-03T23:57:13.297Z,2026-05-03 19:57:13.297
1.760,-0.84824269,-0.90756734,-1.12500192,-1.16438309,2026-05-03T23:57:13.337Z,2026-05-03 19:57:13.337
1.800,-0.72883453,-1.13797721,-1.13841138,-1.13125175,2026-05-03T23:57:13.377Z,2026-05-03 19:57:13.377
1.840,-0.97672975,-1.13959898,-1.10476527,-1.05440655,2026-05-03T23:57:13.417Z,2026-05-03 19:57:13.417
1.880,-1.08429574,-1.04130817,-1.05893331,-0.97188851,2026-05-03T23:57:13.457Z,2026-05-03 19:57:13.457
1.920,-0.96469128,-0.92649385,-0.98671170,-0.87823228,2026-05-03T23:57:13.497Z,2026-05-03 19:57:13.497
1.960,-0.92272970,-0.69545273,-0.91447686,-0.79683157,2026-05-03T23:57:13.537Z,2026-05-03 19:57:13.537
2.000,-0.72459992,-0.52109000,-0.84166078,-0.73868835,2026-05-03T23:57:13.577Z,2026-05-03 19:57:13.577
2.040,-0.54120845,-0.45004499,-0.78249997,-0.69355133,2026-05-03T23:57:13.617Z,2026-05-03 19:57:13.617
2.080,-0.49603557,-0.33263268,-0.74658274,-0.63468710,2026-05-03T23:57:13.657Z,2026-05-03 19:57:13.657
2.120,-0.38448822,-0.20200524,-0.70066548,-0.52144208,2026-05-03T23:57:13.697Z,2026-05-03 19:57:13.697
2.160,-0.27549665,-0.21746900,-0.62310641,-0.32827502,2026-05-03T23:57:13.737Z,2026-05-03 19:57:13.737
2.200,-0.26041696,-0.26041272,-0.44999138,-0.22358368,2026-05-03T23:57:13.777Z,2026-05-03 19:57:13.777
2.240,-0.27294783,-0.37487591,-0.35819133,-0.08238176,2026-05-03T23:57:13.817Z,2026-05-03 19:57:13.817
2.280,-0.36528394,-0.31177907,-0.22121919,0.00531664,2026-05-03T23:57:13.857Z,2026-05-03 19:57:13.857
2.320,-0.37973651,0.14404749,-0.15482066,0.10708984,2026-05-03T23:57:13.897Z,2026-05-03 19:57:13.897
2.360,-0.12489063,0.74815141,-0.04229550,0.19183732,2026-05-03T23:57:13.937Z,2026-05-03 19:57:13.937
2.400,0.55090697,0.31876188,0.01839747,0.21325871,2026-05-03T23:57:13.977Z,2026-05-03 19:57:13.977
2.440,0.16038834,0.71922534,0.11958962,1.00217230,2026-05-03T23:57:14.017Z,2026-05-03 19:57:14.017
2.480,0.58504309,0.45555514,1.10079410,0.99424265,2026-05-03T23:57:14.057Z,2026-05-03 19:57:14.057
2.520,0.20472159,0.64427652,1.72123083,1.14112221,2026-05-03T23:57:14.097Z,2026-05-03 19:57:14.097
2.560,0.61656500,0.60379986,2.09000473,1.14872804,2026-05-03T23:57:14.137Z,2026-05-03 19:57:14.137
