relative_time_s,lord_ch1_norm,lord_ch2_norm,lord_ch3_norm,our_x_norm_original,our_y_norm_original,our_z_norm_original,our_mapped_to_lord_ch1_norm,our_mapped_to_lord_ch2_norm,our_mapped_to_lord_ch3_norm,lord_dynamic_magnitude_norm,our_dynamic_magnitude_norm,our_x_raw,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
0.000,0.13785204,-0.01055705,-0.02297296,0.43679340,-0.01902636,-0.04951179,-0.43679340,-0.01902636,-0.04951179,-1.21421284,-1.29303522,3835,-50,68,2026-05-03T23:57:11.577Z,2026-05-03 19:57:11.577,102629,15
0.040,0.13407120,-0.00846707,-0.02008350,0.28895778,-0.02004178,-0.05088234,-0.28895778,-0.02004178,-0.05088234,-1.21710362,-1.30835811,3818,-51,67,2026-05-03T23:57:11.617Z,2026-05-03 19:57:11.617,102629,16
0.080,0.13354875,-0.01061675,-0.01949027,0.26286914,-0.02207263,-0.05773512,-0.26286914,-0.02207263,-0.05773512,-1.21682162,-1.30471220,3815,-53,62,2026-05-03T23:57:11.657Z,2026-05-03 19:57:11.657,102629,17
0.120,0.13226058,-0.01152624,-0.02156796,0.20199564,-0.01801093,-0.02895345,-0.20199564,-0.01801093,-0.02895345,-1.21595510,-1.33265575,3808,-49,83,2026-05-03T23:57:11.697Z,2026-05-03 19:57:11.697,102629,18
0.160,0.13272726,-0.00998287,-0.01807677,0.17590700,-0.01902636,-0.04128845,-0.17590700,-0.01902636,-0.04128845,-1.21781428,-1.32603400,3805,-50,74,2026-05-03T23:57:11.737Z,2026-05-03 19:57:11.737,102629,19
0.200,0.12753748,-0.01032738,-0.02188018,0.28026156,-0.01801093,-0.03854734,-0.28026156,-0.01801093,-0.03854734,-1.21745449,-1.31845485,3817,-49,76,2026-05-03T23:57:11.777Z,2026-05-03 19:57:11.777,102629,20
0.240,0.12538133,-0.00824659,-0.02228040,0.28026156,-0.01394923,-0.04677067,-0.28026156,-0.01394923,-0.04677067,-1.21846315,-1.31485018,3817,-45,70,2026-05-03T23:57:11.817Z,2026-05-03 19:57:11.817,102629,21
0.280,0.13063610,-0.00984507,-0.02082715,0.25417292,-0.00785668,-0.03306512,-0.25417292,-0.00785668,-0.03306512,-1.21728327,-1.32902561,3814,-39,80,2026-05-03T23:57:11.857Z,2026-05-03 19:57:11.857,102629,22
0.320,0.13662872,-0.01235306,-0.02345832,0.31504642,-0.02105721,-0.05636457,-0.31504642,-0.02105721,-0.05636457,-1.21367794,-1.30141634,3821,-52,63,2026-05-03T23:57:11.897Z,2026-05-03 19:57:11.897,102629,23
0.360,0.13335291,-0.01125754,-0.01684776,0.20199564,-0.02004178,-0.02484178,-0.20199564,-0.02004178,-0.02484178,-1.21765409,-1.33348526,3808,-51,86,2026-05-03T23:57:11.937Z,2026-05-03 19:57:11.937,102629,24
0.400,0.13005749,-0.00995991,-0.01987913,0.18460322,-0.02613433,-0.03580623,-0.18460322,-0.02613433,-0.03580623,-1.21780641,-1.32390555,3806,-57,78,2026-05-03T23:57:11.977Z,2026-05-03 19:57:11.977,102629,25
0.440,0.13192453,-0.00984968,-0.01839183,0.16721079,-0.03527316,-0.06732901,-0.16721079,-0.03527316,-0.06732901,-1.21795170,-1.29508805,3804,-66,55,2026-05-03T23:57:12.017Z,2026-05-03 19:57:12.017,102629,26
0.480,0.13493024,-0.01740805,-0.05033769,0.24547671,-0.02308806,-0.04540012,-0.24547671,-0.02308806,-0.04540012,-1.19568232,-1.31457867,3813,-54,71,2026-05-03T23:57:12.057Z,2026-05-03 19:57:12.057,102629,27
0.520,0.12988042,-0.00819835,-0.02278846,0.21938807,-0.01598008,-0.02347123,-0.21938807,-0.01598008,-0.02347123,-1.21706771,-1.33507920,3810,-47,87,2026-05-03T23:57:12.097Z,2026-05-03 19:57:12.097,102629,28
0.560,0.12273987,-0.00138871,-0.00799771,0.18460322,-0.01801093,-0.02895345,-0.18460322,-0.01801093,-0.02895345,-1.22545364,-1.33439480,3806,-49,83,2026-05-03T23:57:12.137Z,2026-05-03 19:57:12.137,102629,29
0.600,0.12935733,-0.00877711,-0.01678531,0.27156535,-0.00988753,-0.02895345,-0.27156535,-0.00988753,-0.02895345,-1.21959940,-1.32866650,3816,-41,83,2026-05-03T23:57:12.177Z,2026-05-03 19:57:12.177,102629,30
0.640,0.14208894,-0.01175361,0.00893600,0.32374263,-0.02613433,-0.01798900,-0.32374263,-0.02613433,-0.01798900,-1.21719594,-1.31732260,3822,-57,91,2026-05-03T23:57:12.217Z,2026-05-03 19:57:12.217,102629,31
0.680,0.13666615,-0.01950032,-0.01608991,0.17590700,-0.02105721,-0.02895345,-0.17590700,-0.02105721,-0.02895345,-1.21305987,-1.33294379,3805,-52,83,2026-05-03T23:57:12.257Z,2026-05-03 19:57:12.257,102629,32
0.720,0.13307231,-0.01577281,-0.01455435,0.19329943,-0.02410348,-0.03991790,-0.19329943,-0.02410348,-0.03991790,-1.21649484,-1.32212904,3807,-55,75,2026-05-03T23:57:12.297Z,2026-05-03 19:57:12.297,102629,33
0.760,0.12941345,-0.00660906,-0.02549059,0.37591991,-0.00379498,-0.04402956,-0.37591991,-0.00379498,-0.04402956,-1.21621375,-1.30780777,3828,-35,72,2026-05-03T23:57:12.337Z,2026-05-03 19:57:12.337,102629,34
0.800,0.11521680,0.00458956,-0.03622815,0.12372972,-0.00785668,-0.02484178,-0.12372972,-0.00785668,-0.02484178,-1.21326057,-1.34894906,3799,-39,86,2026-05-03T23:57:12.377Z,2026-05-03 19:57:12.377,102629,35
0.840,0.12640817,0.00554497,0.00633606,0.21069186,-0.03222688,-0.03854734,-0.21069186,-0.03222688,-0.03854734,-1.22409670,-1.31494388,3809,-63,76,2026-05-03T23:57:12.417Z,2026-05-03 19:57:12.417,102629,36
0.880,0.12660394,-0.02173269,-0.03974489,0.23678050,-0.04644283,-0.06047623,-0.23678050,-0.04644283,-0.06047623,-1.20248024,-1.28680486,3812,-77,60,2026-05-03T23:57:12.457Z,2026-05-03 19:57:12.457,102629,37
0.920,0.14350796,-0.02976419,-0.03643819,0.30635020,-0.02816518,-0.05910568,-0.30635020,-0.02816518,-0.05910568,-1.19619859,-1.29640957,3820,-59,61,2026-05-03T23:57:12.497Z,2026-05-03 19:57:12.497,102629,38
0.960,0.14439435,-0.01550181,-0.03458757,0.27156535,0.00128214,-0.07966401,-0.27156535,0.00128214,-0.07966401,-1.20479151,-1.29116401,3816,-30,46,2026-05-03T23:57:12.537Z,2026-05-03 19:57:12.537,102629,39
1.000,0.13085131,-0.00584884,-0.06902551,0.17590700,-0.00176413,-0.07007012,-0.17590700,-0.00176413,-0.07007012,-1.18434354,-1.30639203,3805,-33,53,2026-05-03T23:57:12.577Z,2026-05-03 19:57:12.577,102629,40
1.040,0.12466290,0.00981682,-0.00424823,0.24547671,-0.02308806,-0.03169456,-0.24547671,-0.02308806,-0.03169456,-1.22362926,-1.32304474,3813,-54,81,2026-05-03T23:57:12.617Z,2026-05-03 19:57:12.617,102629,41
1.080,0.12499873,-0.01145046,-0.02040991,0.31504642,-0.04847368,-0.00702456,-0.31504642,-0.04847368,-0.00702456,-1.21836433,-1.29927090,3821,-79,99,2026-05-03T23:57:12.657Z,2026-05-03 19:57:12.657,102629,42
1.120,0.14824983,-0.03218030,0.00134904,0.21938807,-0.03222688,-0.02210067,-0.21938807,-0.03222688,-0.02210067,-1.20355843,-1.32216229,3810,-63,88,2026-05-03T23:57:12.697Z,2026-05-03 19:57:12.697,102629,43
1.160,0.14784800,-0.03471812,0.00258657,0.28895778,-0.02308806,-0.02210067,-0.28895778,-0.02308806,-0.02210067,-1.20150053,-1.32252273,3818,-54,88,2026-05-03T23:57:12.737Z,2026-05-03 19:57:12.737,102629,44
1.200,0.14233204,-0.01846911,0.00275687,0.22808428,0.00331299,-0.01387733,-0.22808428,0.00331299,-0.01387733,-1.21464040,-1.34340969,3811,-28,94,2026-05-03T23:57:12.777Z,2026-05-03 19:57:12.777,102629,45
1.240,0.13228839,-0.00393573,0.00103398,0.21069186,-0.01191838,-0.04540012,-0.21069186,-0.01191838,-0.04540012,-1.22309421,-1.32347408,3809,-43,71,2026-05-03T23:57:12.817Z,2026-05-03 19:57:12.817,102629,46
1.280,0.10283961,0.00716183,-0.02566941,0.22808428,-0.07487473,-0.06184679,-0.22808428,-0.07487473,-0.06184679,-1.22246584,-1.25741795,3811,-105,59,2026-05-03T23:57:12.857Z,2026-05-03 19:57:12.857,102629,47
1.320,0.13674072,-0.02402938,-0.01760560,0.21938807,-0.21398796,-0.10981624,-0.21938807,-0.21398796,-0.10981624,-1.20970174,-1.06817989,3810,-242,24,2026-05-03T23:57:12.897Z,2026-05-03 19:57:12.897,102629,48
1.360,0.25279155,-0.15824739,-0.00833265,0.09764108,-0.41402669,-0.15778570,-0.09764108,-0.41402669,-0.15778570,-1.05359274,-0.79516098,3796,-439,-11,2026-05-03T23:57:12.937Z,2026-05-03 19:57:12.937,102629,49
1.400,0.26848222,-0.29029274,-0.11842736,0.05416002,-0.58766436,-0.23590738,-0.05416002,-0.58766436,-0.23590738,-0.87796123,-0.54566255,3791,-610,-68,2026-05-03T23:57:12.977Z,2026-05-03 19:57:12.977,102629,50
1.440,0.46608414,-0.49391413,-0.16807045,0.10633730,-0.53790854,-0.35651629,-0.10633730,-0.53790854,-0.35651629,-0.61594913,-0.56442873,3797,-561,-156,2026-05-03T23:57:13.017Z,2026-05-03 19:57:13.017,102629,51
1.480,0.53064745,-0.53221817,-0.34153461,0.28895778,-0.31959216,-0.51001855,-0.28895778,-0.31959216,-0.51001855,-0.50734083,-0.70550382,3818,-346,-268,2026-05-03T23:57:13.057Z,2026-05-03 19:57:13.057,102629,52
1.520,0.39470569,-0.34587700,-0.45425766,0.16721079,-0.24648156,-0.55387633,-0.16721079,-0.24648156,-0.55387633,-0.63213324,-0.72864523,3804,-274,-300,2026-05-03T23:57:13.097Z,2026-05-03 19:57:13.097,102629,53
1.560,0.32999373,-0.18986808,-0.42795448,0.16721079,-0.17540181,-0.06047623,-0.16721079,-0.17540181,-0.06047623,-0.76931393,-1.13408330,3804,-204,60,2026-05-03T23:57:13.137Z,2026-05-03 19:57:13.137,102629,54
1.600,0.24733955,-0.23876671,-0.29765624,0.38461612,0.01651352,0.32602051,-0.38461612,0.01651352,0.32602051,-0.84027964,-1.04650843,3829,-15,342,2026-05-03T23:57:13.177Z,2026-05-03 19:57:13.177,102629,55
1.640,0.13862649,-0.03547832,0.22262841,0.37591991,-0.06268963,0.32327940,-0.37591991,-0.06268963,0.32327940,-1.03520964,-1.03940392,3828,-93,340,2026-05-03T23:57:13.217Z,2026-05-03 19:57:13.217,102629,56
1.680,-0.02178827,0.02821782,0.40787181,0.17590700,-0.07182846,0.32190884,-0.17590700,-0.07182846,0.32190884,-0.85856756,-1.04147565,3805,-102,339,2026-05-03T23:57:13.257Z,2026-05-03 19:57:13.257,102629,57
1.720,0.18866625,-0.15612295,0.23629231,0.34983127,0.14141080,0.50145166,-0.34983127,0.14141080,0.50145166,-0.95533686,-0.83713814,3825,108,470,2026-05-03T23:57:13.297Z,2026-05-03 19:57:13.297,102629,58
1.760,0.03233946,0.11106601,0.39624018,0.39331234,0.08251614,0.45211165,-0.39331234,0.08251614,0.45211165,-0.84824269,-0.90756734,3830,50,434,2026-05-03T23:57:13.337Z,2026-05-03 19:57:13.337,102629,59
1.800,0.06490613,0.11675949,0.52013502,0.21069186,0.05611509,0.22734049,-0.21069186,0.05611509,0.22734049,-0.72883453,-1.13797721,3809,24,270,2026-05-03T23:57:13.377Z,2026-05-03 19:57:13.377,102629,60
1.840,0.09421480,0.02227399,0.28726378,0.25417292,0.16578100,0.07794991,-0.25417292,0.16578100,0.07794991,-0.97672975,-1.13959898,3814,132,161,2026-05-03T23:57:13.417Z,2026-05-03 19:57:13.417,102629,61
1.880,0.01531467,0.12275609,0.09717810,0.02807138,0.22975277,-0.13311569,-0.02807138,0.22975277,-0.13311569,-1.08429574,-1.04130817,3788,195,7,2026-05-03T23:57:13.457Z,2026-05-03 19:57:13.457,102629,62
