sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
2026-05-03T23:56:00.017Z,2026-05-03 19:56:00.017,102611,26,3806,-65,65
2026-05-03T23:56:00.057Z,2026-05-03 19:56:00.057,102611,27,3805,-62,83
2026-05-03T23:56:00.097Z,2026-05-03 19:56:00.097,102611,28,3823,-65,97
2026-05-03T23:56:00.137Z,2026-05-03 19:56:00.137,102611,29,3817,-50,98
2026-05-03T23:56:00.177Z,2026-05-03 19:56:00.177,102611,30,3827,-44,96
2026-05-03T23:56:00.217Z,2026-05-03 19:56:00.217,102611,31,3816,-45,83
2026-05-03T23:56:00.257Z,2026-05-03 19:56:00.257,102611,32,3823,-55,68
2026-05-03T23:56:00.297Z,2026-05-03 19:56:00.297,102611,33,3812,-47,71
2026-05-03T23:56:00.337Z,2026-05-03 19:56:00.337,102611,34,3815,-50,54
2026-05-03T23:56:00.377Z,2026-05-03 19:56:00.377,102611,35,3819,-65,44
2026-05-03T23:56:00.417Z,2026-05-03 19:56:00.417,102611,36,3815,-57,52
2026-05-03T23:56:00.457Z,2026-05-03 19:56:00.457,102611,37,3820,-47,64
2026-05-03T23:56:00.497Z,2026-05-03 19:56:00.497,102611,38,3813,-52,87
2026-05-03T23:56:00.537Z,2026-05-03 19:56:00.537,102611,39,3804,-41,104
2026-05-03T23:56:00.577Z,2026-05-03 19:56:00.577,102611,40,3802,-57,100
2026-05-03T23:56:00.617Z,2026-05-03 19:56:00.617,102611,41,3818,-62,101
2026-05-03T23:56:00.657Z,2026-05-03 19:56:00.657,102611,42,3813,-54,89
2026-05-03T23:56:00.697Z,2026-05-03 19:56:00.697,102611,43,3824,-43,77
2026-05-03T23:56:00.737Z,2026-05-03 19:56:00.737,102611,44,3798,-49,63
2026-05-03T23:56:00.777Z,2026-05-03 19:56:00.777,102611,45,3812,-57,55
2026-05-03T23:56:00.817Z,2026-05-03 19:56:00.817,102611,46,3814,-55,49
2026-05-03T23:56:00.857Z,2026-05-03 19:56:00.857,102611,47,3811,-48,61
2026-05-03T23:56:00.897Z,2026-05-03 19:56:00.897,102611,48,3817,-45,65
2026-05-03T23:56:00.937Z,2026-05-03 19:56:00.937,102611,49,3806,-49,72
2026-05-03T23:56:00.977Z,2026-05-03 19:56:00.977,102611,50,3811,-47,88
2026-05-03T23:56:01.017Z,2026-05-03 19:56:01.017,102611,51,3825,-47,86
2026-05-03T23:56:01.057Z,2026-05-03 19:56:01.057,102611,52,3824,-39,92
2026-05-03T23:56:01.097Z,2026-05-03 19:56:01.097,102611,53,3810,-51,93
2026-05-03T23:56:01.137Z,2026-05-03 19:56:01.137,102611,54,3830,-46,80
2026-05-03T23:56:01.177Z,2026-05-03 19:56:01.177,102611,55,3813,-43,59
2026-05-03T23:56:01.217Z,2026-05-03 19:56:01.217,102611,56,3815,-48,51
2026-05-03T23:56:01.257Z,2026-05-03 19:56:01.257,102611,57,3811,-60,47
2026-05-03T23:56:01.297Z,2026-05-03 19:56:01.297,102611,58,3805,-39,55
2026-05-03T23:56:01.337Z,2026-05-03 19:56:01.337,102611,59,3792,-65,76
2026-05-03T23:56:01.377Z,2026-05-03 19:56:01.377,102611,60,3808,-46,56
2026-05-03T23:56:01.417Z,2026-05-03 19:56:01.417,102611,61,3803,-50,92
2026-05-03T23:56:01.457Z,2026-05-03 19:56:01.457,102611,62,3823,-47,101
2026-05-03T23:56:01.497Z,2026-05-03 19:56:01.497,102611,63,3815,-53,101
2026-05-03T23:56:01.537Z,2026-05-03 19:56:01.537,102611,64,3830,-48,104
2026-05-03T23:56:01.577Z,2026-05-03 19:56:01.577,102611,65,3808,-39,83
2026-05-03T23:56:01.617Z,2026-05-03 19:56:01.617,102611,66,3795,-56,68
2026-05-03T23:56:01.657Z,2026-05-03 19:56:01.657,102611,67,3817,-49,64
2026-05-03T23:56:01.697Z,2026-05-03 19:56:01.697,102611,68,3818,-54,46
2026-05-03T23:56:01.737Z,2026-05-03 19:56:01.737,102611,69,3806,-54,54
2026-05-03T23:56:01.777Z,2026-05-03 19:56:01.777,102611,70,3814,-64,66
2026-05-03T23:56:01.817Z,2026-05-03 19:56:01.817,102611,71,3809,-43,68
2026-05-03T23:56:01.857Z,2026-05-03 19:56:01.857,102611,72,3812,-45,84
2026-05-03T23:56:01.897Z,2026-05-03 19:56:01.897,102611,73,3831,-50,79
2026-05-03T23:56:01.937Z,2026-05-03 19:56:01.937,102611,74,3821,-58,92
2026-05-03T23:56:01.977Z,2026-05-03 19:56:01.977,102611,75,3824,-50,92
2026-05-03T23:56:02.017Z,2026-05-03 19:56:02.017,102611,76,3809,-58,100
2026-05-03T23:56:02.057Z,2026-05-03 19:56:02.057,102611,77,3806,-50,79
2026-05-03T23:56:02.097Z,2026-05-03 19:56:02.097,102611,78,3810,-49,55
2026-05-03T23:56:02.137Z,2026-05-03 19:56:02.137,102611,79,3807,-51,51
2026-05-03T23:56:02.177Z,2026-05-03 19:56:02.177,102611,80,3820,-57,58
2026-05-03T23:56:02.217Z,2026-05-03 19:56:02.217,102611,81,3812,-44,58
2026-05-03T23:56:02.257Z,2026-05-03 19:56:02.257,102611,82,3820,-49,58
2026-05-03T23:56:02.297Z,2026-05-03 19:56:02.297,102611,83,3819,-56,75
2026-05-03T23:56:02.337Z,2026-05-03 19:56:02.337,102611,84,3810,-41,88
2026-05-03T23:56:02.377Z,2026-05-03 19:56:02.377,102611,85,3813,-44,96
2026-05-03T23:56:02.417Z,2026-05-03 19:56:02.417,102611,86,3812,-49,89
2026-05-03T23:56:02.457Z,2026-05-03 19:56:02.457,102611,87,3814,-52,80
2026-05-03T23:56:02.497Z,2026-05-03 19:56:02.497,102611,88,3821,-45,73
2026-05-03T23:56:02.537Z,2026-05-03 19:56:02.537,102611,89,3804,-53,69
2026-05-03T23:56:02.577Z,2026-05-03 19:56:02.577,102611,90,3809,-57,57
2026-05-03T23:56:02.617Z,2026-05-03 19:56:02.617,102611,91,3816,-43,52
2026-05-03T23:56:02.657Z,2026-05-03 19:56:02.657,102611,92,3803,-51,46
2026-05-03T23:56:02.697Z,2026-05-03 19:56:02.697,102611,93,3800,-52,62
2026-05-03T23:56:02.737Z,2026-05-03 19:56:02.737,102611,94,3818,-58,78
2026-05-03T23:56:02.777Z,2026-05-03 19:56:02.777,102611,95,3819,-55,90
2026-05-03T23:56:02.817Z,2026-05-03 19:56:02.817,102611,96,3809,-64,92
2026-05-03T23:56:02.857Z,2026-05-03 19:56:02.857,102611,97,3809,-41,89
2026-05-03T23:56:02.897Z,2026-05-03 19:56:02.897,102611,98,3818,-48,89
2026-05-03T23:56:02.937Z,2026-05-03 19:56:02.937,102611,99,3817,-58,88
2026-05-03T23:56:02.977Z,2026-05-03 19:56:02.977,102611,100,3807,-50,64
2026-05-03T23:56:03.017Z,2026-05-03 19:56:03.017,102612,1,3811,-56,69
2026-05-03T23:56:03.057Z,2026-05-03 19:56:03.057,102612,2,3814,-53,54
2026-05-03T23:56:03.097Z,2026-05-03 19:56:03.097,102612,3,3817,-48,44
2026-05-03T23:56:03.137Z,2026-05-03 19:56:03.137,102612,4,3815,-62,73
2026-05-03T23:56:03.177Z,2026-05-03 19:56:03.177,102612,5,3808,-51,82
2026-05-03T23:56:03.217Z,2026-05-03 19:56:03.217,102612,6,3812,-43,84
2026-05-03T23:56:03.257Z,2026-05-03 19:56:03.257,102612,7,3811,-41,107
2026-05-03T23:56:03.297Z,2026-05-03 19:56:03.297,102612,8,3817,-55,95
2026-05-03T23:56:03.337Z,2026-05-03 19:56:03.337,102612,9,3799,-57,84
2026-05-03T23:56:03.377Z,2026-05-03 19:56:03.377,102612,10,3811,-49,85
2026-05-03T23:56:03.417Z,2026-05-03 19:56:03.417,102612,11,3808,-47,65
2026-05-03T23:56:03.457Z,2026-05-03 19:56:03.457,102612,12,3811,-55,69
2026-05-03T23:56:03.497Z,2026-05-03 19:56:03.497,102612,13,3811,-54,52
2026-05-03T23:56:03.537Z,2026-05-03 19:56:03.537,102612,14,3803,-52,58
2026-05-03T23:56:03.577Z,2026-05-03 19:56:03.577,102612,15,3807,-52,71
2026-05-03T23:56:03.617Z,2026-05-03 19:56:03.617,102612,16,3823,-44,74
2026-05-03T23:56:03.657Z,2026-05-03 19:56:03.657,102612,17,3795,-49,86
2026-05-03T23:56:03.697Z,2026-05-03 19:56:03.697,102612,18,3822,-56,82
2026-05-03T23:56:03.737Z,2026-05-03 19:56:03.737,102612,19,3813,-49,94
2026-05-03T23:56:03.777Z,2026-05-03 19:56:03.777,102612,20,3814,-63,82
2026-05-03T23:56:03.817Z,2026-05-03 19:56:03.817,102612,21,3818,-53,91
2026-05-03T23:56:03.857Z,2026-05-03 19:56:03.857,102612,22,3805,-59,70
2026-05-03T23:56:03.897Z,2026-05-03 19:56:03.897,102612,23,3811,-56,69
2026-05-03T23:56:03.937Z,2026-05-03 19:56:03.937,102612,24,3804,-54,68
2026-05-03T23:56:03.977Z,2026-05-03 19:56:03.977,102612,25,3810,-64,83
2026-05-03T23:56:04.017Z,2026-05-03 19:56:04.017,102612,26,3815,-41,53
2026-05-03T23:56:04.057Z,2026-05-03 19:56:04.057,102612,27,3809,-45,68
2026-05-03T23:56:04.097Z,2026-05-03 19:56:04.097,102612,28,3826,-60,77
2026-05-03T23:56:04.137Z,2026-05-03 19:56:04.137,102612,29,3813,-53,95
2026-05-03T23:56:04.177Z,2026-05-03 19:56:04.177,102612,30,3818,-52,88
2026-05-03T23:56:04.217Z,2026-05-03 19:56:04.217,102612,31,3807,-52,89
2026-05-03T23:56:04.257Z,2026-05-03 19:56:04.257,102612,32,3806,-52,78
2026-05-03T23:56:04.297Z,2026-05-03 19:56:04.297,102612,33,3800,-52,75
2026-05-03T23:56:04.337Z,2026-05-03 19:56:04.337,102612,34,3810,-48,63
2026-05-03T23:56:04.377Z,2026-05-03 19:56:04.377,102612,35,3823,-58,56
2026-05-03T23:56:04.417Z,2026-05-03 19:56:04.417,102612,36,3809,-68,56
2026-05-03T23:56:04.457Z,2026-05-03 19:56:04.457,102612,37,3818,-49,63
2026-05-03T23:56:04.497Z,2026-05-03 19:56:04.497,102612,38,3814,-56,74
2026-05-03T23:56:04.537Z,2026-05-03 19:56:04.537,102612,39,3818,-40,87
2026-05-03T23:56:04.577Z,2026-05-03 19:56:04.577,102612,40,3802,-62,95
2026-05-03T23:56:04.617Z,2026-05-03 19:56:04.617,102612,41,3808,-53,100
2026-05-03T23:56:04.657Z,2026-05-03 19:56:04.657,102612,42,3833,-57,98
2026-05-03T23:56:04.697Z,2026-05-03 19:56:04.697,102612,43,3827,-41,98
2026-05-03T23:56:04.737Z,2026-05-03 19:56:04.737,102612,44,3817,-42,76
2026-05-03T23:56:04.777Z,2026-05-03 19:56:04.777,102612,45,3824,-60,71
2026-05-03T23:56:04.817Z,2026-05-03 19:56:04.817,102612,46,3811,-46,57
2026-05-03T23:56:04.857Z,2026-05-03 19:56:04.857,102612,47,3812,-59,59
2026-05-03T23:56:04.897Z,2026-05-03 19:56:04.897,102612,48,3821,-54,63
2026-05-03T23:56:04.937Z,2026-05-03 19:56:04.937,102612,49,3812,-56,61
2026-05-03T23:56:04.977Z,2026-05-03 19:56:04.977,102612,50,3835,-63,70
2026-05-03T23:56:05.017Z,2026-05-03 19:56:05.017,102612,51,3832,-50,89
2026-05-03T23:56:05.057Z,2026-05-03 19:56:05.057,102612,52,3809,-43,91
2026-05-03T23:56:05.097Z,2026-05-03 19:56:05.097,102612,53,3819,-57,76
2026-05-03T23:56:05.137Z,2026-05-03 19:56:05.137,102612,54,3809,-53,93
2026-05-03T23:56:05.177Z,2026-05-03 19:56:05.177,102612,55,3823,-56,79
2026-05-03T23:56:05.217Z,2026-05-03 19:56:05.217,102612,56,3811,-58,71
2026-05-03T23:56:05.257Z,2026-05-03 19:56:05.257,102612,57,3806,-50,69
2026-05-03T23:56:05.297Z,2026-05-03 19:56:05.297,102612,58,3812,-50,46
2026-05-03T23:56:05.337Z,2026-05-03 19:56:05.337,102612,59,3827,-48,55
2026-05-03T23:56:05.377Z,2026-05-03 19:56:05.377,102612,60,3820,-48,58
2026-05-03T23:56:05.417Z,2026-05-03 19:56:05.417,102612,61,3803,-47,77
2026-05-03T23:56:05.457Z,2026-05-03 19:56:05.457,102612,62,3840,-51,85
2026-05-03T23:56:05.497Z,2026-05-03 19:56:05.497,102612,63,3818,-58,79
2026-05-03T23:56:05.537Z,2026-05-03 19:56:05.537,102612,64,3802,-54,80
2026-05-03T23:56:05.577Z,2026-05-03 19:56:05.577,102612,65,3808,-63,83
2026-05-03T23:56:05.617Z,2026-05-03 19:56:05.617,102612,66,3823,-48,88
2026-05-03T23:56:05.657Z,2026-05-03 19:56:05.657,102612,67,3794,-54,60
2026-05-03T23:56:05.697Z,2026-05-03 19:56:05.697,102612,68,3818,-47,64
2026-05-03T23:56:05.737Z,2026-05-03 19:56:05.737,102612,69,3815,-52,57
2026-05-03T23:56:05.777Z,2026-05-03 19:56:05.777,102612,70,3793,-60,62
2026-05-03T23:56:05.817Z,2026-05-03 19:56:05.817,102612,71,3819,-55,54
2026-05-03T23:56:05.857Z,2026-05-03 19:56:05.857,102612,72,3823,-59,70
2026-05-03T23:56:05.897Z,2026-05-03 19:56:05.897,102612,73,3821,-58,72
2026-05-03T23:56:05.937Z,2026-05-03 19:56:05.937,102612,74,3811,-59,87
2026-05-03T23:56:05.977Z,2026-05-03 19:56:05.977,102612,75,3821,-37,85
2026-05-03T23:56:06.017Z,2026-05-03 19:56:06.017,102612,76,3815,-45,76
2026-05-03T23:56:06.057Z,2026-05-03 19:56:06.057,102612,77,3814,-46,85
2026-05-03T23:56:06.097Z,2026-05-03 19:56:06.097,102612,78,3818,-56,73
2026-05-03T23:56:06.137Z,2026-05-03 19:56:06.137,102612,79,3818,-53,72
2026-05-03T23:56:06.177Z,2026-05-03 19:56:06.177,102612,80,3806,-50,66
2026-05-03T23:56:06.217Z,2026-05-03 19:56:06.217,102612,81,3819,-52,56
2026-05-03T23:56:06.257Z,2026-05-03 19:56:06.257,102612,82,3830,-50,59
2026-05-03T23:56:06.297Z,2026-05-03 19:56:06.297,102612,83,3809,-54,75
2026-05-03T23:56:06.337Z,2026-05-03 19:56:06.337,102612,84,3813,-48,61
2026-05-03T23:56:06.377Z,2026-05-03 19:56:06.377,102612,85,3823,-55,83
2026-05-03T23:56:06.417Z,2026-05-03 19:56:06.417,102612,86,3803,-40,90
2026-05-03T23:56:06.457Z,2026-05-03 19:56:06.457,102612,87,3812,-49,90
2026-05-03T23:56:06.497Z,2026-05-03 19:56:06.497,102612,88,3808,-52,89
2026-05-03T23:56:06.537Z,2026-05-03 19:56:06.537,102612,89,3792,-47,75
2026-05-03T23:56:06.577Z,2026-05-03 19:56:06.577,102612,90,3817,-53,79
2026-05-03T23:56:06.617Z,2026-05-03 19:56:06.617,102612,91,3811,-58,56
2026-05-03T23:56:06.657Z,2026-05-03 19:56:06.657,102612,92,3808,-61,54
2026-05-03T23:56:06.697Z,2026-05-03 19:56:06.697,102612,93,3809,-47,69
2026-05-03T23:56:06.737Z,2026-05-03 19:56:06.737,102612,94,3808,-46,69
2026-05-03T23:56:06.777Z,2026-05-03 19:56:06.777,102612,95,3812,-51,68
2026-05-03T23:56:06.817Z,2026-05-03 19:56:06.817,102612,96,3814,-52,84
2026-05-03T23:56:06.857Z,2026-05-03 19:56:06.857,102612,97,3818,-59,78
2026-05-03T23:56:06.897Z,2026-05-03 19:56:06.897,102612,98,3812,-51,91
2026-05-03T23:56:06.937Z,2026-05-03 19:56:06.937,102612,99,3810,-42,90
2026-05-03T23:56:06.977Z,2026-05-03 19:56:06.977,102612,100,3830,-58,79
2026-05-03T23:56:07.017Z,2026-05-03 19:56:07.017,102613,1,3817,-45,79
2026-05-03T23:56:07.057Z,2026-05-03 19:56:07.057,102613,2,3814,-44,58
2026-05-03T23:56:07.097Z,2026-05-03 19:56:07.097,102613,3,3812,-47,67
2026-05-03T23:56:07.137Z,2026-05-03 19:56:07.137,102613,4,3824,-47,66
2026-05-03T23:56:07.177Z,2026-05-03 19:56:07.177,102613,5,3821,-60,64
2026-05-03T23:56:07.217Z,2026-05-03 19:56:07.217,102613,6,3827,-52,81
2026-05-03T23:56:07.257Z,2026-05-03 19:56:07.257,102613,7,3813,-54,82
2026-05-03T23:56:07.297Z,2026-05-03 19:56:07.297,102613,8,3802,-50,80
2026-05-03T23:56:07.337Z,2026-05-03 19:56:07.337,102613,9,3806,-59,90
2026-05-03T23:56:07.377Z,2026-05-03 19:56:07.377,102613,10,3816,-43,79
2026-05-03T23:56:07.417Z,2026-05-03 19:56:07.417,102613,11,3823,-55,80
2026-05-03T23:56:07.457Z,2026-05-03 19:56:07.457,102613,12,3794,-45,77
2026-05-03T23:56:07.497Z,2026-05-03 19:56:07.497,102613,13,3808,-43,62
2026-05-03T23:56:07.537Z,2026-05-03 19:56:07.537,102613,14,3823,-52,68
2026-05-03T23:56:07.577Z,2026-05-03 19:56:07.577,102613,15,3804,-47,63
2026-05-03T23:56:07.617Z,2026-05-03 19:56:07.617,102613,16,3813,-65,66
2026-05-03T23:56:07.657Z,2026-05-03 19:56:07.657,102613,17,3823,-46,75
2026-05-03T23:56:07.697Z,2026-05-03 19:56:07.697,102613,18,3837,-59,72
2026-05-03T23:56:07.737Z,2026-05-03 19:56:07.737,102613,19,3800,-49,83
2026-05-03T23:56:07.777Z,2026-05-03 19:56:07.777,102613,20,3820,-65,96
2026-05-03T23:56:07.817Z,2026-05-03 19:56:07.817,102613,21,3824,-61,92
2026-05-03T23:56:07.857Z,2026-05-03 19:56:07.857,102613,22,3814,-54,89
2026-05-03T23:56:07.897Z,2026-05-03 19:56:07.897,102613,23,3808,-55,71
2026-05-03T23:56:07.937Z,2026-05-03 19:56:07.937,102613,24,3818,-48,53
2026-05-03T23:56:07.977Z,2026-05-03 19:56:07.977,102613,25,3815,-59,56
2026-05-03T23:56:08.017Z,2026-05-03 19:56:08.017,102613,26,3811,-59,57
2026-05-03T23:56:08.057Z,2026-05-03 19:56:08.057,102613,27,3814,-55,63
