relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
0.000,2026-05-03T23:57:11.577Z,2026-05-03 19:57:11.577,102629,15,3835,-50,68
0.040,2026-05-03T23:57:11.617Z,2026-05-03 19:57:11.617,102629,16,3818,-51,67
0.080,2026-05-03T23:57:11.657Z,2026-05-03 19:57:11.657,102629,17,3815,-53,62
0.120,2026-05-03T23:57:11.697Z,2026-05-03 19:57:11.697,102629,18,3808,-49,83
0.160,2026-05-03T23:57:11.737Z,2026-05-03 19:57:11.737,102629,19,3805,-50,74
0.200,2026-05-03T23:57:11.777Z,2026-05-03 19:57:11.777,102629,20,3817,-49,76
0.240,2026-05-03T23:57:11.817Z,2026-05-03 19:57:11.817,102629,21,3817,-45,70
0.280,2026-05-03T23:57:11.857Z,2026-05-03 19:57:11.857,102629,22,3814,-39,80
0.320,2026-05-03T23:57:11.897Z,2026-05-03 19:57:11.897,102629,23,3821,-52,63
0.360,2026-05-03T23:57:11.937Z,2026-05-03 19:57:11.937,102629,24,3808,-51,86
0.400,2026-05-03T23:57:11.977Z,2026-05-03 19:57:11.977,102629,25,3806,-57,78
0.440,2026-05-03T23:57:12.017Z,2026-05-03 19:57:12.017,102629,26,3804,-66,55
0.480,2026-05-03T23:57:12.057Z,2026-05-03 19:57:12.057,102629,27,3813,-54,71
0.520,2026-05-03T23:57:12.097Z,2026-05-03 19:57:12.097,102629,28,3810,-47,87
0.560,2026-05-03T23:57:12.137Z,2026-05-03 19:57:12.137,102629,29,3806,-49,83
0.600,2026-05-03T23:57:12.177Z,2026-05-03 19:57:12.177,102629,30,3816,-41,83
0.640,2026-05-03T23:57:12.217Z,2026-05-03 19:57:12.217,102629,31,3822,-57,91
0.680,2026-05-03T23:57:12.257Z,2026-05-03 19:57:12.257,102629,32,3805,-52,83
0.720,2026-05-03T23:57:12.297Z,2026-05-03 19:57:12.297,102629,33,3807,-55,75
0.760,2026-05-03T23:57:12.337Z,2026-05-03 19:57:12.337,102629,34,3828,-35,72
0.800,2026-05-03T23:57:12.377Z,2026-05-03 19:57:12.377,102629,35,3799,-39,86
0.840,2026-05-03T23:57:12.417Z,2026-05-03 19:57:12.417,102629,36,3809,-63,76
0.880,2026-05-03T23:57:12.457Z,2026-05-03 19:57:12.457,102629,37,3812,-77,60
0.920,2026-05-03T23:57:12.497Z,2026-05-03 19:57:12.497,102629,38,3820,-59,61
0.960,2026-05-03T23:57:12.537Z,2026-05-03 19:57:12.537,102629,39,3816,-30,46
1.000,2026-05-03T23:57:12.577Z,2026-05-03 19:57:12.577,102629,40,3805,-33,53
1.040,2026-05-03T23:57:12.617Z,2026-05-03 19:57:12.617,102629,41,3813,-54,81
1.080,2026-05-03T23:57:12.657Z,2026-05-03 19:57:12.657,102629,42,3821,-79,99
1.120,2026-05-03T23:57:12.697Z,2026-05-03 19:57:12.697,102629,43,3810,-63,88
1.160,2026-05-03T23:57:12.737Z,2026-05-03 19:57:12.737,102629,44,3818,-54,88
1.200,2026-05-03T23:57:12.777Z,2026-05-03 19:57:12.777,102629,45,3811,-28,94
1.240,2026-05-03T23:57:12.817Z,2026-05-03 19:57:12.817,102629,46,3809,-43,71
1.280,2026-05-03T23:57:12.857Z,2026-05-03 19:57:12.857,102629,47,3811,-105,59
