relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
0.038125,2026-05-04 22:13:09.970000+00:00,2026-05-04 18:13:09.970,122647,58,3805.0,19.0,23.0
0.078125,2026-05-04 22:13:10.010000+00:00,2026-05-04 18:13:10.010,122647,59,3809.0,11.0,42.0
0.118125,2026-05-04 22:13:10.050000+00:00,2026-05-04 18:13:10.050,122647,60,3815.0,9.0,83.0
0.158125,2026-05-04 22:13:10.090000+00:00,2026-05-04 18:13:10.090,122647,61,3814.0,13.0,87.0
0.198125,2026-05-04 22:13:10.130000+00:00,2026-05-04 18:13:10.130,122647,62,3815.0,11.0,91.0
0.238125,2026-05-04 22:13:10.170000+00:00,2026-05-04 18:13:10.170,122647,63,3817.0,8.0,90.0
0.278125,2026-05-04 22:13:10.210000+00:00,2026-05-04 18:13:10.210,122647,64,3817.0,18.0,50.0
0.318125,2026-05-04 22:13:10.250000+00:00,2026-05-04 18:13:10.250,122647,65,3815.0,4.0,25.0
0.358125,2026-05-04 22:13:10.290000+00:00,2026-05-04 18:13:10.290,122647,66,3805.0,-2.0,-4.0
0.398125,2026-05-04 22:13:10.330000+00:00,2026-05-04 18:13:10.330,122647,67,3807.0,7.0,-2.0
0.438125,2026-05-04 22:13:10.370000+00:00,2026-05-04 18:13:10.370,122647,68,3822.0,24.0,-8.0
0.478125,2026-05-04 22:13:10.410000+00:00,2026-05-04 18:13:10.410,122647,69,3811.0,7.0,12.0
0.518125,2026-05-04 22:13:10.450000+00:00,2026-05-04 18:13:10.450,122647,70,3812.0,-3.0,36.0
0.558125,2026-05-04 22:13:10.490000+00:00,2026-05-04 18:13:10.490,122647,71,3800.0,11.0,69.0
0.598125,2026-05-04 22:13:10.530000+00:00,2026-05-04 18:13:10.530,122647,72,3823.0,21.0,100.0
0.638125,2026-05-04 22:13:10.570000+00:00,2026-05-04 18:13:10.570,122647,73,3819.0,-4.0,93.0
0.678125,2026-05-04 22:13:10.610000+00:00,2026-05-04 18:13:10.610,122647,74,3804.0,10.0,74.0
0.718125,2026-05-04 22:13:10.650000+00:00,2026-05-04 18:13:10.650,122647,75,3812.0,16.0,71.0
0.758125,2026-05-04 22:13:10.690000+00:00,2026-05-04 18:13:10.690,122647,76,3799.0,9.0,43.0
0.798125,2026-05-04 22:13:10.730000+00:00,2026-05-04 18:13:10.730,122647,77,3803.0,29.0,-2.0
0.838125,2026-05-04 22:13:10.770000+00:00,2026-05-04 18:13:10.770,122647,78,3806.0,18.0,-1.0
0.878125,2026-05-04 22:13:10.810000+00:00,2026-05-04 18:13:10.810,122647,79,3815.0,3.0,1.0
0.918125,2026-05-04 22:13:10.850000+00:00,2026-05-04 18:13:10.850,122647,80,3814.0,6.0,18.0
0.958125,2026-05-04 22:13:10.890000+00:00,2026-05-04 18:13:10.890,122647,81,3809.0,20.0,33.0
0.998125,2026-05-04 22:13:10.930000+00:00,2026-05-04 18:13:10.930,122647,82,3820.0,6.0,56.0
1.038125,2026-05-04 22:13:10.970000+00:00,2026-05-04 18:13:10.970,122647,83,3814.0,10.0,89.0
1.078125,2026-05-04 22:13:11.010000+00:00,2026-05-04 18:13:11.010,122647,84,3806.0,12.0,103.0
1.118125,2026-05-04 22:13:11.050000+00:00,2026-05-04 18:13:11.050,122647,85,3821.0,8.0,78.0
1.158125,2026-05-04 22:13:11.090000+00:00,2026-05-04 18:13:11.090,122647,86,3821.0,16.0,74.0
1.198125,2026-05-04 22:13:11.130000+00:00,2026-05-04 18:13:11.130,122647,87,3824.0,23.0,37.0
1.238125,2026-05-04 22:13:11.170000+00:00,2026-05-04 18:13:11.170,122647,88,3806.0,12.0,2.0
1.278125,2026-05-04 22:13:11.210000+00:00,2026-05-04 18:13:11.210,122647,89,3814.0,2.0,9.0
1.318125,2026-05-04 22:13:11.250000+00:00,2026-05-04 18:13:11.250,122647,90,3810.0,0.0,-9.0
1.358125,2026-05-04 22:13:11.290000+00:00,2026-05-04 18:13:11.290,122647,91,3806.0,25.0,12.0
1.398125,2026-05-04 22:13:11.330000+00:00,2026-05-04 18:13:11.330,122647,92,3801.0,-1.0,32.0
1.438125,2026-05-04 22:13:11.370000+00:00,2026-05-04 18:13:11.370,122647,93,3821.0,9.0,58.0
1.478125,2026-05-04 22:13:11.410000+00:00,2026-05-04 18:13:11.410,122647,94,3817.0,22.0,86.0
1.518125,2026-05-04 22:13:11.450000+00:00,2026-05-04 18:13:11.450,122647,95,3812.0,2.0,105.0
1.558125,2026-05-04 22:13:11.490000+00:00,2026-05-04 18:13:11.490,122647,96,3815.0,22.0,89.0
1.598125,2026-05-04 22:13:11.530000+00:00,2026-05-04 18:13:11.530,122647,97,3816.0,9.0,77.0
1.638125,2026-05-04 22:13:11.570000+00:00,2026-05-04 18:13:11.570,122647,98,3831.0,8.0,51.0
1.678125,2026-05-04 22:13:11.610000+00:00,2026-05-04 18:13:11.610,122647,99,3814.0,20.0,21.0
1.718125,2026-05-04 22:13:11.650000+00:00,2026-05-04 18:13:11.650,122647,100,3813.0,25.0,-4.0
1.758125,2026-05-04 22:13:11.690000+00:00,2026-05-04 18:13:11.690,122648,1,3810.0,10.0,3.0
1.798125,2026-05-04 22:13:11.730000+00:00,2026-05-04 18:13:11.730,122648,2,3793.0,11.0,13.0
1.838125,2026-05-04 22:13:11.770000+00:00,2026-05-04 18:13:11.770,122648,3,3813.0,17.0,22.0
1.878125,2026-05-04 22:13:11.810000+00:00,2026-05-04 18:13:11.810,122648,4,3807.0,11.0,59.0
1.918125,2026-05-04 22:13:11.850000+00:00,2026-05-04 18:13:11.850,122648,5,3803.0,24.0,73.0
1.958125,2026-05-04 22:13:11.890000+00:00,2026-05-04 18:13:11.890,122648,6,3813.0,14.0,97.0
1.998125,2026-05-04 22:13:11.930000+00:00,2026-05-04 18:13:11.930,122648,7,3802.0,12.0,83.0
2.038125,2026-05-04 22:13:11.970000+00:00,2026-05-04 18:13:11.970,122648,8,3810.0,6.0,74.0
2.078125,2026-05-04 22:13:12.010000+00:00,2026-05-04 18:13:12.010,122648,9,3815.0,8.0,45.0
2.118125,2026-05-04 22:13:12.050000+00:00,2026-05-04 18:13:12.050,122648,10,3814.0,10.0,18.0
2.158125,2026-05-04 22:13:12.090000+00:00,2026-05-04 18:13:12.090,122648,11,3807.0,7.0,13.0
2.198125,2026-05-04 22:13:12.130000+00:00,2026-05-04 18:13:12.130,122648,12,3804.0,11.0,1.0
2.238125,2026-05-04 22:13:12.170000+00:00,2026-05-04 18:13:12.170,122648,13,3806.0,8.0,7.0
2.278125,2026-05-04 22:13:12.210000+00:00,2026-05-04 18:13:12.210,122648,14,3804.0,18.0,30.0
2.318125,2026-05-04 22:13:12.250000+00:00,2026-05-04 18:13:12.250,122648,15,3820.0,1.0,59.0
2.358125,2026-05-04 22:13:12.290000+00:00,2026-05-04 18:13:12.290,122648,16,3813.0,2.0,86.0
2.398125,2026-05-04 22:13:12.330000+00:00,2026-05-04 18:13:12.330,122648,17,3818.0,14.0,96.0
2.438125,2026-05-04 22:13:12.370000+00:00,2026-05-04 18:13:12.370,122648,18,3806.0,17.0,86.0
2.478125,2026-05-04 22:13:12.410000+00:00,2026-05-04 18:13:12.410,122648,19,3823.0,18.0,71.0
2.518125,2026-05-04 22:13:12.450000+00:00,2026-05-04 18:13:12.450,122648,20,3809.0,8.0,46.0
2.558125,2026-05-04 22:13:12.490000+00:00,2026-05-04 18:13:12.490,122648,21,3821.0,13.0,30.0
2.598125,2026-05-04 22:13:12.530000+00:00,2026-05-04 18:13:12.530,122648,22,3809.0,3.0,0.0
2.638125,2026-05-04 22:13:12.570000+00:00,2026-05-04 18:13:12.570,122648,23,3811.0,8.0,4.0
2.678125,2026-05-04 22:13:12.610000+00:00,2026-05-04 18:13:12.610,122648,24,3811.0,19.0,9.0
2.718125,2026-05-04 22:13:12.650000+00:00,2026-05-04 18:13:12.650,122648,25,3827.0,9.0,35.0
2.758125,2026-05-04 22:13:12.690000+00:00,2026-05-04 18:13:12.690,122648,26,3811.0,9.0,56.0
2.798125,2026-05-04 22:13:12.730000+00:00,2026-05-04 18:13:12.730,122648,27,3818.0,10.0,83.0
2.838125,2026-05-04 22:13:12.770000+00:00,2026-05-04 18:13:12.770,122648,28,3836.0,4.0,87.0
2.878125,2026-05-04 22:13:12.810000+00:00,2026-05-04 18:13:12.810,122648,29,3820.0,3.0,78.0
2.918125,2026-05-04 22:13:12.850000+00:00,2026-05-04 18:13:12.850,122648,30,3820.0,24.0,76.0
2.958125,2026-05-04 22:13:12.890000+00:00,2026-05-04 18:13:12.890,122648,31,3805.0,0.0,44.0
2.998125,2026-05-04 22:13:12.930000+00:00,2026-05-04 18:13:12.930,122648,32,3810.0,22.0,29.0
3.038125,2026-05-04 22:13:12.970000+00:00,2026-05-04 18:13:12.970,122648,33,3803.0,2.0,7.0
3.078125,2026-05-04 22:13:13.010000+00:00,2026-05-04 18:13:13.010,122648,34,3809.0,18.0,-5.0
3.118125,2026-05-04 22:13:13.050000+00:00,2026-05-04 18:13:13.050,122648,35,3807.0,19.0,13.0
3.158125,2026-05-04 22:13:13.090000+00:00,2026-05-04 18:13:13.090,122648,36,3817.0,8.0,24.0
3.198125,2026-05-04 22:13:13.130000+00:00,2026-05-04 18:13:13.130,122648,37,3808.0,11.0,56.0
3.238125,2026-05-04 22:13:13.170000+00:00,2026-05-04 18:13:13.170,122648,38,3812.0,10.0,69.0
3.278125,2026-05-04 22:13:13.210000+00:00,2026-05-04 18:13:13.210,122648,39,3816.0,57.0,187.0
3.318125,2026-05-04 22:13:13.250000+00:00,2026-05-04 18:13:13.250,122648,40,3801.0,95.0,63.0
3.358125,2026-05-04 22:13:13.290000+00:00,2026-05-04 18:13:13.290,122648,41,3823.0,-32.0,2.0
3.398125,2026-05-04 22:13:13.330000+00:00,2026-05-04 18:13:13.330,122648,42,3798.0,-253.0,104.0
3.438125,2026-05-04 22:13:13.370000+00:00,2026-05-04 18:13:13.370,122648,43,3845.0,-1.0,85.0
3.478125,2026-05-04 22:13:13.410000+00:00,2026-05-04 18:13:13.410,122648,44,3816.0,182.0,237.0
3.518125,2026-05-04 22:13:13.450000+00:00,2026-05-04 18:13:13.450,122648,45,3830.0,275.0,-44.0
3.558125,2026-05-04 22:13:13.490000+00:00,2026-05-04 18:13:13.490,122648,46,3812.0,64.0,-268.0
3.598125,2026-05-04 22:13:13.530000+00:00,2026-05-04 18:13:13.530,122648,47,3768.0,-239.0,-170.0
3.638125,2026-05-04 22:13:13.570000+00:00,2026-05-04 18:13:13.570,122648,48,3790.0,-175.0,-205.0
3.678125,2026-05-04 22:13:13.610000+00:00,2026-05-04 18:13:13.610,122648,49,3822.0,44.0,76.0
3.718125,2026-05-04 22:13:13.650000+00:00,2026-05-04 18:13:13.650,122648,50,3822.0,226.0,317.0
3.758125,2026-05-04 22:13:13.690000+00:00,2026-05-04 18:13:13.690,122648,51,3849.0,221.0,213.0
3.798125,2026-05-04 22:13:13.730000+00:00,2026-05-04 18:13:13.730,122648,52,3816.0,-78.0,226.0
3.838125,2026-05-04 22:13:13.770000+00:00,2026-05-04 18:13:13.770,122648,53,3792.0,-209.0,113.0
3.878125,2026-05-04 22:13:13.810000+00:00,2026-05-04 18:13:13.810,122648,54,3800.0,-57.0,-6.0
3.918125,2026-05-04 22:13:13.850000+00:00,2026-05-04 18:13:13.850,122648,55,3819.0,136.0,112.0
3.958125,2026-05-04 22:13:13.890000+00:00,2026-05-04 18:13:13.890,122648,56,3833.0,272.0,-51.0
3.998125,2026-05-04 22:13:13.930000+00:00,2026-05-04 18:13:13.930,122648,57,3801.0,-88.0,-74.0
4.038125,2026-05-04 22:13:13.970000+00:00,2026-05-04 18:13:13.970,122648,58,3780.0,-394.0,-60.0
4.078125,2026-05-04 22:13:14.010000+00:00,2026-05-04 18:13:14.010,122648,59,3798.0,-93.0,-152.0
4.118125,2026-05-04 22:13:14.050000+00:00,2026-05-04 18:13:14.050,122648,60,3818.0,295.0,-27.0
4.158125,2026-05-04 22:13:14.090000+00:00,2026-05-04 18:13:14.090,122648,61,3835.0,355.0,138.0
4.198125,2026-05-04 22:13:14.130000+00:00,2026-05-04 18:13:14.130,122648,62,3856.0,47.0,219.0
4.238125,2026-05-04 22:13:14.170000+00:00,2026-05-04 18:13:14.170,122648,63,3784.0,-501.0,288.0
4.278125,2026-05-04 22:13:14.210000+00:00,2026-05-04 18:13:14.210,122648,64,3805.0,-162.0,22.0
4.318125,2026-05-04 22:13:14.250000+00:00,2026-05-04 18:13:14.250,122648,65,3832.0,381.0,-23.0
4.358125,2026-05-04 22:13:14.290000+00:00,2026-05-04 18:13:14.290,122648,66,3831.0,481.0,-22.0
4.398125,2026-05-04 22:13:14.330000+00:00,2026-05-04 18:13:14.330,122648,67,3825.0,-24.0,9.0
4.438125,2026-05-04 22:13:14.370000+00:00,2026-05-04 18:13:14.370,122648,68,3793.0,-459.0,96.0
4.478125,2026-05-04 22:13:14.410000+00:00,2026-05-04 18:13:14.410,122648,69,3776.0,-371.0,-109.0
4.518125,2026-05-04 22:13:14.450000+00:00,2026-05-04 18:13:14.450,122648,70,3792.0,229.0,-442.0
4.558125,2026-05-04 22:13:14.490000+00:00,2026-05-04 18:13:14.490,122648,71,3782.0,489.0,-738.0
4.598125,2026-05-04 22:13:14.530000+00:00,2026-05-04 18:13:14.530,122648,72,3738.0,130.0,-979.0
4.638125,2026-05-04 22:13:14.570000+00:00,2026-05-04 18:13:14.570,122648,73,3744.0,-233.0,-685.0
4.678125,2026-05-04 22:13:14.610000+00:00,2026-05-04 18:13:14.610,122648,74,3754.0,-52.0,-219.0
4.718125,2026-05-04 22:13:14.650000+00:00,2026-05-04 18:13:14.650,122648,75,3799.0,81.0,14.0
4.758125,2026-05-04 22:13:14.690000+00:00,2026-05-04 18:13:14.690,122648,76,3767.0,-175.0,297.0
4.798125,2026-05-04 22:13:14.730000+00:00,2026-05-04 18:13:14.730,122648,77,3780.0,-167.0,673.0
4.838125,2026-05-04 22:13:14.770000+00:00,2026-05-04 18:13:14.770,122648,78,3836.0,-88.0,1167.0
4.878125,2026-05-04 22:13:14.810000+00:00,2026-05-04 18:13:14.810,122648,79,3899.0,-161.0,2262.0
4.918125,2026-05-04 22:13:14.850000+00:00,2026-05-04 18:13:14.850,122648,80,3950.0,128.0,2925.0
4.958125,2026-05-04 22:13:14.890000+00:00,2026-05-04 18:13:14.890,122648,81,3950.0,-14.0,3111.0
4.998125,2026-05-04 22:13:14.930000+00:00,2026-05-04 18:13:14.930,122648,82,3855.0,-94.0,2212.0
5.038125,2026-05-04 22:13:14.970000+00:00,2026-05-04 18:13:14.970,122648,83,3708.0,43.0,294.0
5.078125,2026-05-04 22:13:15.010000+00:00,2026-05-04 18:13:15.010,122648,84,3636.0,118.0,-1367.0
5.118125,2026-05-04 22:13:15.050000+00:00,2026-05-04 18:13:15.050,122648,85,3601.0,-12.0,-2325.0
5.158125,2026-05-04 22:13:15.090000+00:00,2026-05-04 18:13:15.090,122648,86,3599.0,-166.0,-2777.0
5.198125,2026-05-04 22:13:15.130000+00:00,2026-05-04 18:13:15.130,122648,87,3598.0,0.0,-3039.0
5.238125,2026-05-04 22:13:15.170000+00:00,2026-05-04 18:13:15.170,122648,88,3597.0,93.0,-2550.0
5.278125,2026-05-04 22:13:15.210000+00:00,2026-05-04 18:13:15.210,122648,89,3637.0,173.0,-1357.0
5.318125,2026-05-04 22:13:15.250000+00:00,2026-05-04 18:13:15.250,122648,90,3739.0,-114.0,587.0
5.358125,2026-05-04 22:13:15.290000+00:00,2026-05-04 18:13:15.290,122648,91,3864.0,-377.0,2865.0
5.398125,2026-05-04 22:13:15.330000+00:00,2026-05-04 18:13:15.330,122648,92,4040.0,-349.0,5027.0
5.438125,2026-05-04 22:13:15.370000+00:00,2026-05-04 18:13:15.370,122648,93,4059.0,36.0,5231.0
5.478125,2026-05-04 22:13:15.410000+00:00,2026-05-04 18:13:15.410,122648,94,3878.0,88.0,3495.0
5.518125,2026-05-04 22:13:15.450000+00:00,2026-05-04 18:13:15.450,122648,95,3670.0,158.0,620.0
5.558125,2026-05-04 22:13:15.490000+00:00,2026-05-04 18:13:15.490,122648,96,3486.0,1.0,-2409.0
5.598125,2026-05-04 22:13:15.530000+00:00,2026-05-04 18:13:15.530,122648,97,3378.0,-367.0,-4730.0
5.638125,2026-05-04 22:13:15.570000+00:00,2026-05-04 18:13:15.570,122648,98,3388.0,107.0,-5624.0
5.678125,2026-05-04 22:13:15.610000+00:00,2026-05-04 18:13:15.610,122648,99,3437.0,225.0,-4303.0
5.718125,2026-05-04 22:13:15.650000+00:00,2026-05-04 18:13:15.650,122648,100,3530.0,-502.0,-843.0
5.758125,2026-05-04 22:13:15.690000+00:00,2026-05-04 18:13:15.690,122649,1,3893.0,-466.0,2810.0
5.798125,2026-05-04 22:13:15.730000+00:00,2026-05-04 18:13:15.730,122649,2,3984.0,-303.0,5286.0
5.838125,2026-05-04 22:13:15.770000+00:00,2026-05-04 18:13:15.770,122649,3,4119.0,475.0,4939.0
5.878125,2026-05-04 22:13:15.810000+00:00,2026-05-04 18:13:15.810,122649,4,4013.0,651.0,3647.0
5.918125,2026-05-04 22:13:15.850000+00:00,2026-05-04 18:13:15.850,122649,5,3744.0,30.0,1964.0
5.958125,2026-05-04 22:13:15.890000+00:00,2026-05-04 18:13:15.890,122649,6,3609.0,-466.0,-795.0
5.998125,2026-05-04 22:13:15.930000+00:00,2026-05-04 18:13:15.930,122649,7,3461.0,-789.0,-2676.0
6.038125,2026-05-04 22:13:15.970000+00:00,2026-05-04 18:13:15.970,122649,8,3438.0,-283.0,-4309.0
6.078125,2026-05-04 22:13:16.010000+00:00,2026-05-04 18:13:16.010,122649,9,3483.0,458.0,-4810.0
6.118125,2026-05-04 22:13:16.050000+00:00,2026-05-04 18:13:16.050,122649,10,3480.0,454.0,-3260.0
6.158125,2026-05-04 22:13:16.090000+00:00,2026-05-04 18:13:16.090,122649,11,3605.0,28.0,-1120.0
6.198125,2026-05-04 22:13:16.130000+00:00,2026-05-04 18:13:16.130,122649,12,3759.0,-657.0,1829.0
6.238125,2026-05-04 22:13:16.170000+00:00,2026-05-04 18:13:16.170,122649,13,3918.0,-746.0,4317.0
6.278125,2026-05-04 22:13:16.210000+00:00,2026-05-04 18:13:16.210,122649,14,4106.0,83.0,4818.0
6.318125,2026-05-04 22:13:16.250000+00:00,2026-05-04 18:13:16.250,122649,15,4045.0,717.0,4310.0
6.358125,2026-05-04 22:13:16.290000+00:00,2026-05-04 18:13:16.290,122649,16,3878.0,662.0,2330.0
6.398125,2026-05-04 22:13:16.330000+00:00,2026-05-04 18:13:16.330,122649,17,3667.0,-161.0,-178.0
6.438125,2026-05-04 22:13:16.370000+00:00,2026-05-04 18:13:16.370,122649,18,3475.0,-956.0,-2172.0
6.478125,2026-05-04 22:13:16.410000+00:00,2026-05-04 18:13:16.410,122649,19,3456.0,-704.0,-3957.0
6.518125,2026-05-04 22:13:16.450000+00:00,2026-05-04 18:13:16.450,122649,20,3486.0,71.0,-4363.0
6.558125,2026-05-04 22:13:16.490000+00:00,2026-05-04 18:13:16.490,122649,21,3530.0,682.0,-3479.0
6.598125,2026-05-04 22:13:16.530000+00:00,2026-05-04 18:13:16.530,122649,22,3624.0,586.0,-1712.0
6.638125,2026-05-04 22:13:16.570000+00:00,2026-05-04 18:13:16.570,122649,23,3713.0,-338.0,1039.0
6.678125,2026-05-04 22:13:16.610000+00:00,2026-05-04 18:13:16.610,122649,24,3881.0,-881.0,3290.0
6.718125,2026-05-04 22:13:16.650000+00:00,2026-05-04 18:13:16.650,122649,25,4023.0,-552.0,4487.0
6.758125,2026-05-04 22:13:16.690000+00:00,2026-05-04 18:13:16.690,122649,26,4039.0,383.0,4414.0
6.798125,2026-05-04 22:13:16.730000+00:00,2026-05-04 18:13:16.730,122649,27,3967.0,996.0,2711.0
6.838125,2026-05-04 22:13:16.770000+00:00,2026-05-04 18:13:16.770,122649,28,3750.0,402.0,640.0
6.878125,2026-05-04 22:13:16.810000+00:00,2026-05-04 18:13:16.810,122649,29,3547.0,-631.0,-1595.0
6.918125,2026-05-04 22:13:16.850000+00:00,2026-05-04 18:13:16.850,122649,30,3477.0,-982.0,-3417.0
6.958125,2026-05-04 22:13:16.890000+00:00,2026-05-04 18:13:16.890,122649,31,3474.0,-461.0,-4019.0
6.998125,2026-05-04 22:13:16.930000+00:00,2026-05-04 18:13:16.930,122649,32,3547.0,546.0,-3643.0
7.038125,2026-05-04 22:13:16.970000+00:00,2026-05-04 18:13:16.970,122649,33,3641.0,849.0,-2053.0
