relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
0.000,0.992628872,0.981462650,0.007771559,0.010631336,0.137852040,-0.417350110,-0.022972959,-0.014317265,3835,68,2026-05-03T23:57:11.577Z,2026-05-03 19:57:11.577,102629,15
0.040,0.992375760,0.982127984,0.008397704,0.008721010,0.134071203,-0.274037691,-0.020083496,-0.027227980,3818,67,2026-05-03T23:57:11.617Z,2026-05-03 19:57:11.617,102629,16
0.080,0.992340784,0.982248879,0.008526254,0.007425767,0.133548752,-0.247996941,-0.019490274,-0.035981721,3815,62,2026-05-03T23:57:11.657Z,2026-05-03 19:57:11.657,102629,17
0.120,0.992254546,0.982507377,0.008076021,0.010892306,0.132260576,-0.192316651,-0.021567962,-0.012553527,3808,83,2026-05-03T23:57:11.697Z,2026-05-03 19:57:11.697,102629,18
0.160,0.992285788,0.982631161,0.008832560,0.008802521,0.132727255,-0.165653680,-0.018076769,-0.026677096,3805,74,2026-05-03T23:57:11.737Z,2026-05-03 19:57:11.737,102629,19
0.200,0.991938353,0.982160579,0.008008363,0.010408045,0.127537477,-0.267016694,-0.021880182,-0.015826353,3817,76,2026-05-03T23:57:11.777Z,2026-05-03 19:57:11.777,102629,20
0.240,0.991794007,0.982164912,0.007921637,0.009216229,0.125381328,-0.266083364,-0.022280397,-0.023881095,3817,70,2026-05-03T23:57:11.817Z,2026-05-03 19:57:11.817,102629,21
0.280,0.992145793,0.982274975,0.008236555,0.010900525,0.130636101,-0.242375938,-0.020827148,-0.012497983,3814,80,2026-05-03T23:57:11.857Z,2026-05-03 19:57:11.857,102629,22
0.320,0.992546976,0.982013588,0.007666382,0.008228529,0.136628716,-0.298678447,-0.023458321,-0.030556350,3821,63,2026-05-03T23:57:11.897Z,2026-05-03 19:57:11.897,102629,23
0.360,0.992327673,0.982505211,0.009098886,0.011488214,0.133352914,-0.192783316,-0.016847757,-0.008526156,3808,86,2026-05-03T23:57:11.937Z,2026-05-03 19:57:11.937,102629,24
0.400,0.992107058,0.982589178,0.008441989,0.009697752,0.130057489,-0.174696892,-0.019879131,-0.020626783,3806,78,2026-05-03T23:57:11.977Z,2026-05-03 19:57:11.977,102629,25
0.440,0.992232049,0.982683977,0.008764287,0.004927752,0.131924527,-0.154277144,-0.018391828,-0.052864263,3804,55,2026-05-03T23:57:12.017Z,2026-05-03 19:57:12.017,102629,26
0.480,0.992433269,0.982320569,0.001841643,0.009012115,0.134930236,-0.232554951,-0.050337686,-0.025260581,3813,71,2026-05-03T23:57:12.057Z,2026-05-03 19:57:12.057,102629,27
0.520,0.992095203,0.982426299,0.007811540,0.011888225,0.129880418,-0.209780855,-0.022788461,-0.005822728,3810,87,2026-05-03T23:57:12.097Z,2026-05-03 19:57:12.097,102629,28
0.560,0.991617172,0.982585567,0.011016683,0.010690931,0.122739874,-0.175474667,-0.007997715,-0.013914498,3806,83,2026-05-03T23:57:12.137Z,2026-05-03 19:57:12.137,102629,29
0.600,0.992060184,0.982194619,0.009112418,0.011697808,0.129357327,-0.259684587,-0.016785307,-0.007109641,3816,83,2026-05-03T23:57:12.177Z,2026-05-03 19:57:12.177,102629,30
0.640,0.992912517,0.981954272,0.014686207,0.013891021,0.142088943,-0.311454978,0.008936004,0.007712929,3822,91,2026-05-03T23:57:12.217Z,2026-05-03 19:57:12.217,102629,31
0.680,0.992549481,0.982624662,0.009263111,0.010590243,0.136666145,-0.167053675,-0.016089909,-0.014594984,3805,83,2026-05-03T23:57:12.257Z,2026-05-03 19:57:12.257,102629,32
0.720,0.992308888,0.982552249,0.009595865,0.009202532,0.133072315,-0.182651219,-0.014554349,-0.023973668,3807,75,2026-05-03T23:57:12.297Z,2026-05-03 19:57:12.297,102629,33
