relative_time_s,lord_x_g,lord_y_g,prototype_calibrated_to_lord_y_g,lord_z_g,prototype_calibrated_to_lord_z_g,lord_x_norm,lord_y_norm,prototype_y_norm,lord_z_norm,prototype_z_norm,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
0.000,0.992628872,0.097389415,0.094897652,0.007771559,0.004842415,0.137852040,-0.010557055,-0.028314597,-0.022972959,-0.052355801,-50,68,2026-05-03T23:57:11.577Z,2026-05-03 19:57:11.577,102629,15
0.040,0.992375760,0.097954260,0.094659355,0.008397704,0.004607733,0.134071203,-0.008467073,-0.029576968,-0.020083496,-0.053909661,-51,67,2026-05-03T23:57:11.617Z,2026-05-03 19:57:11.617,102629,16
0.080,0.992340784,0.097373280,0.094030951,0.008526254,0.003532769,0.133548752,-0.010616755,-0.032905907,-0.019490274,-0.061027148,-53,62,2026-05-03T23:57:11.657Z,2026-05-03 19:57:11.657,102629,17
0.120,0.992254546,0.097127480,0.095844388,0.008076021,0.007903232,0.132260576,-0.011526241,-0.023299310,-0.021567962,-0.032089697,-49,83,2026-05-03T23:57:11.697Z,2026-05-03 19:57:11.697,102629,18
0.160,0.992285788,0.097544596,0.095201268,0.008832560,0.006053616,0.132727255,-0.009982871,-0.026706204,-0.018076769,-0.044336268,-50,74,2026-05-03T23:57:11.737Z,2026-05-03 19:57:11.737,102629,19
0.200,0.991938353,0.097451487,0.095490169,0.008008363,0.006490164,0.127537477,-0.010327381,-0.025175767,-0.021880182,-0.041445819,-49,76,2026-05-03T23:57:11.777Z,2026-05-03 19:57:11.777,102629,20
0.240,0.991794007,0.098013848,0.095937333,0.007921637,0.005410222,0.125381328,-0.008246589,-0.022806935,-0.022280397,-0.048596268,-45,70,2026-05-03T23:57:11.817Z,2026-05-03 19:57:11.817,102629,21
0.280,0.992145793,0.097581838,0.097569530,0.008236555,0.007625779,0.130636101,-0.009845071,-0.014160445,-0.020827148,-0.033926752,-39,80,2026-05-03T23:57:11.857Z,2026-05-03 19:57:11.857,102629,22
0.320,0.992546976,0.096904022,0.094269249,0.007666382,0.003767451,0.136628716,-0.012353059,-0.031643536,-0.023458321,-0.059473288,-52,63,2026-05-03T23:57:11.897Z,2026-05-03 19:57:11.897,102629,23
0.360,0.992327673,0.097200101,0.095620806,0.009098886,0.008443203,0.133352914,-0.011257535,-0.024483726,-0.016847757,-0.028514473,-51,86,2026-05-03T23:57:11.937Z,2026-05-03 19:57:11.937,102629,24
0.400,0.992107058,0.097550802,0.094089814,0.008441989,0.006631379,0.130057489,-0.009959907,-0.032594086,-0.019879131,-0.040510811,-57,78,2026-05-03T23:57:11.977Z,2026-05-03 19:57:11.977,102629,25
0.440,0.992232049,0.097580593,0.091236697,0.008764287,0.001693110,0.131924527,-0.009849677,-0.047708345,-0.018391828,-0.073207796,-66,55,2026-05-03T23:57:12.017Z,2026-05-03 19:57:12.017,102629,26
0.480,0.992433269,0.095537845,0.094298680,0.001841643,0.005316756,0.134930236,-0.017408048,-0.031487625,-0.050337686,-0.049215120,-54,71,2026-05-03T23:57:12.057Z,2026-05-03 19:57:12.057,102629,27
0.520,0.992095203,0.098026885,0.096422188,0.007811540,0.008776328,0.129880418,-0.008198351,-0.020238436,-0.022788461,-0.026308799,-47,87,2026-05-03T23:57:12.097Z,2026-05-03 19:57:12.097,102629,28
0.560,0.991617172,0.099867280,0.095844388,0.011016683,0.007903232,0.122739874,-0.001388706,-0.023299310,-0.007997715,-0.032089697,-49,83,2026-05-03T23:57:12.137Z,2026-05-03 19:57:12.137,102629,29
0.600,0.992060184,0.097870469,0.097345948,0.009112418,0.008165750,0.129357327,-0.008777106,-0.015344861,-0.016785307,-0.030351528,-41,83,2026-05-03T23:57:12.177Z,2026-05-03 19:57:12.177,102629,30
0.640,0.992912517,0.097066031,0.094747648,0.014686207,0.009255648,0.142088943,-0.011753606,-0.029109236,0.008936004,-0.023135156,-57,91,2026-05-03T23:57:12.217Z,2026-05-03 19:57:12.217,102629,31
0.680,0.992549481,0.094972380,0.095281302,0.009263111,0.007804787,0.136666145,-0.019500324,-0.026282228,-0.016089909,-0.032741511,-52,83,2026-05-03T23:57:12.257Z,2026-05-03 19:57:12.257,102629,32
0.720,0.992308888,0.095979789,0.094313396,0.009595865,0.006091409,0.133072315,-0.015772811,-0.031409670,-0.014554349,-0.044086035,-55,75,2026-05-03T23:57:12.297Z,2026-05-03 19:57:12.297,102629,33
0.760,0.992063942,0.098456412,0.097915489,0.007225990,0.006142103,0.129413454,-0.006609058,-0.012327743,-0.025490593,-0.043750378,-35,72,2026-05-03T23:57:12.337Z,2026-05-03 19:57:12.337,102629,34
0.800,0.991113532,0.101482984,0.097873146,0.004899170,0.008836980,0.115216804,0.004589561,-0.012552052,-0.036228145,-0.025907219,-39,86,2026-05-03T23:57:12.377Z,2026-05-03 19:57:12.377,102629,35
0.840,0.991862750,0.101741196,0.092862438,0.014122800,0.006030757,0.126408172,0.005544969,-0.039096053,0.006336056,-0.044487616,-63,76,2026-05-03T23:57:12.417Z,2026-05-03 19:57:12.417,102629,36
0.880,0.991875856,0.094369055,0.089425064,0.004137095,0.002341482,0.126603940,-0.021732687,-0.057305385,-0.039744888,-0.068914835,-77,60,2026-05-03T23:57:12.457Z,2026-05-03 19:57:12.457,102629,37
0.920,0.993007514,0.092198438,0.092854178,0.004853654,0.003134014,0.143507964,-0.029764189,-0.039139809,-0.036438189,-0.063667364,-59,61,2026-05-03T23:57:12.497Z,2026-05-03 19:57:12.497,102629,38
